station,din_N_mn,din_N_sd,din_N_n,din_N_md,din_N_iqr,din_N_p90,din_N_gm
P7CBI,0.0134712901580671,0.007164444585683955,6,0.011518833820811984,0.006728983658230566,0.021675138033937516,0.011914788166108768
PYC43,0.01240472382772424,0.00956688636423191,7,0.00810116556366993,0.011328749481290907,0.0224282408744104,0.009469179300970028
P5BSD,0.012732005614797837,0.0068817829774091436,7,0.01243923221880066,0.0067238743296889475,0.021228567302321644,0.01020982707150692
OBY35,0.010824506476688195,0.007680566369404957,7,0.00771280047419989,0.004661974379562251,0.018978787776105337,0.009138377540814048
CMS1,0.011175768007675795,0.004553171969577726,7,0.01070396237332723,0.0054495927791064595,0.016615515554830255,0.010384944339144973
P6FGG,0.03357975285961001,0.029364381616816735,7,0.02887361318408534,0.03997407879622097,0.06903530016330214,0.021993073863209
PH1,0.047116814045187166,0.03525684627974367,7,0.05255339506521313,0.03438694624835302,0.08107584389858283,0.03542992067192475
MPL86,0.01967685540683707,0.018657105623434513,7,0.01687127542534738,0.013409216988899785,0.03777137328322058,0.014054361763808162
HR3,0.023381880606097808,0.008930667754795492,3,0.02497451035578598,0.008823518255596807,0.03012216926063762,0.022100992046738814
SMT50,0.04225694736824778,0.029674057757368894,7,0.02949244453062063,0.04639738582985276,0.08096788582120582,0.03322785001355368
BMR02,0.051701915966871556,0.02545096904405546,7,0.04792970802713337,0.029387763875235243,0.0814995772993917,0.04524615495503473
PH2,0.07184755706713038,0.05466692075425307,7,0.05801776154280141,0.07211286067167505,0.13709892704912324,0.05159845636709577
HR1,0.014343244445441205,0.010550380603673805,7,0.01301161055172867,0.013233004140722579,0.024959474595768274,0.010873160423886483
PKT42,0.032593702097632245,0.02814642692395203,7,0.01389613183648947,0.04597420828046643,0.06738782605410724,0.02063003491657259
EEB18,0.05192837479191185,0.03221147446758498,7,0.05610218484140405,0.04840814104376574,0.08932969500783396,0.04308808186111443
PH3,0.07454079091750153,0.042558701944787954,6,0.06622636008317737,0.03494028970285419,0.12037859126977304,0.06278013515172519
HR2,0.021444958734888372,0.010263231039293948,3,0.02111376623227933,0.010259222436938796,0.029718575184961217,0.019693845600294156
RRC46,0.0668110626765277,0.03906868418088296,7,0.06365580126873094,0.046880060832902706,0.11719666433009837,0.055502826371200624
HR4,0.07687105494021026,0.03685050422203503,6,0.07971796282643781,0.03823876388630326,0.11275793609268622,0.06518728127573892
PRV70,0.1802994867444482,0.023470785265432156,7,0.17421214696591325,0.02588025045718481,0.20666497129814787,0.17907893320469148
STR54,0.11715481051637625,0.049692117630435226,7,0.10275908513459768,0.052559783517328804,0.16839170476070348,0.10938919230109842
NMM79,0.04647186411994689,0.04559623523618201,6,0.031152432046289133,0.028799960467337665,0.09323154557636791,0.03371843030677312
RRY47,0.19953014611563957,0.0743033565186036,7,0.23436525336099684,0.12202622413970815,0.267595711177724,0.18561746990278122
