station,station_name,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm
P7CBI,Clapboard Island,0.1956295416885706,0.0445562031835148,13,0.189119856307684,0.026940006769304997,0.2606245094775241,0.1915768067182585
PYC43,Falmouth,0.2156653417711735,0.07384448823447781,10,0.196072444010884,0.07417651174661577,0.29,0.20554341738822715
P5BSD,Broad Sound,0.2022647776390779,0.05030883175953778,13,0.2,0.064066919492799,0.2540277079263256,0.1967061242867248
OBY35,Orr's Island,0.20755467270794542,0.0579815563494759,10,0.20222767826995702,0.06628710459884454,0.2656156562337766,0.20024767644834193
CMS1,Cousins Island,0.23470975390368076,0.09171638645372236,12,0.2031925973881985,0.05643947130886651,0.393,0.22212061263143917
P6FGG,Fort Gorges,0.24549315474542,0.09099435469643755,13,0.21,0.086623463650113,0.374143372630001,0.23179545691733744
PH1,Portland Harbor 1,0.23623731859472408,0.052238038092901326,12,0.2272484836659645,0.09219520995073976,0.3037295203189184,0.2310379655874972
MPL86,Mere Point,0.24663674273541533,0.05739073981562212,12,0.24386610397626302,0.059044223839649024,0.30792864107766793,0.2405407882008625
HR3,Harraseeket 3,0.28275096170649744,0.08447558849697155,7,0.248597786431331,0.09698950173995047,0.382,0.2726832224887993
SMT50,SMCC Pier,0.3112674250322109,0.14823260102468933,8,0.2548272744341735,0.184881995087812,0.5314953768310174,0.2840619644226582
BMR02,B&M Railroad,0.2950141692744275,0.1030049371105656,11,0.26,0.08562954808907497,0.427289940386102,0.2809537708689675
PH2,Portland Harbor 2,0.36171960143663506,0.24575919758978726,12,0.260968939116177,0.096664304047304,0.5010488567802909,0.3184318007195956
HR1,Harraseeket 1,0.2579108345874244,0.05882019927779002,12,0.264572863525453,0.067636549566022,0.3178929942385451,0.25146432886854014
PKT42,Quahog Bay,0.26819294271039235,0.046228129334581945,12,0.2679817802410115,0.07704555228340973,0.31952502330179294,0.2643484205372917
EEB18,East End Beach,0.2899271808185782,0.09544475561490492,13,0.273798628670713,0.056999562201015014,0.40247618030414545,0.27588567765741406
PH3,Portland Harbor 3,0.3581485898311925,0.23683705301020194,12,0.275407634313432,0.09987802853133401,0.4383380719984438,0.31922265860511795
HR2,Harraseeket 2,0.3158993866318827,0.11102802357043172,7,0.3,0.06921834028726553,0.41989295479908406,0.3013757091687756
RRC46,Lower Royal River,0.3493273483637714,0.14176167243673168,11,0.3,0.1608698234624385,0.458992101753045,0.32558846352380727
HR4,Harraseeket 4,0.296278617100133,0.10616148321497294,8,0.33358208209071705,0.09492722512881702,0.38726344056608547,0.27038743930146925
PRV70,Walton Park,0.36473817088915716,0.07878879902811191,11,0.357867559206852,0.086871781506557,0.439994654297883,0.356558669113015
STR54,Upper Fore River,0.46383499975683645,0.1344279715395719,11,0.41,0.18059598024998247,0.595915034503863,0.445319150251335
NMM79,New Meadows,0.4497736127380541,0.1502321478058197,10,0.459902056536939,0.1981584464829011,0.5769960991238978,0.42649491842394954
RRY47,Upper Royal River,0.49029669018387745,0.15151676954725524,12,0.5248789767134945,0.16019254527908477,0.6427774252747978,0.4618063285103017
